temperature_set_C,pressure_set_kPa,ratio_set,volume_set_m3,recycle_fraction_set,Tin_C,Tout_C,pressure_actual_kPa,ratio_actual,volume_actual_m3,recycle_fraction_actual,C_efficiency_pct,H_efficiency_pct,co2_conversion_per_pass_pct,energy_efficiency_pct,methanol_kg_h,hydrogen_purge_kg_h,reactor_duty_kJ_h,compressor_duty_kJ_h,expander_duty_kJ_h,h2_lhv_kJ_h,methanol_lhv_kJ_h,converged,write_error,recycle_status,convergence_detail,case,execution_order,solve_time_s,case_time_s,timestamp
210,5000,3.0,65,,210.0,210.0,5000.0,3.0,65.0,0.99,83.2070201920341,84.0560714184834,8.854918895879795,78.44872595347,17354.57923195429,471.90938579666755,31404764.943893857,25454622.961730156,39642948.312046945,462351162.0,343034475.1177539,True,,RCY-1:Converged(60/300),,methanol_instance0.hsc,1,4.766390000004321,5.061483900004532,2026-07-31 17:38:37
210,5500,3.0,65,,210.0,210.0,5500.0,3.0,65.0,0.99,82.84258134816666,83.68791381090304,8.75443669563969,78.20298240186716,17278.543175430845,483.62170776461767,31358739.83384692,26332598.801621277,40631966.63952992,462351162.0,341533308.82094455,True,,RCY-1:Converged(62/300),,methanol_instance1.hsc,1,4.908879199996591,5.186783699988155,2026-07-31 17:38:37
210,6000,3.0,65,,210.0,210.0,6000.0,3.0,65.0,0.99,82.44930627350223,83.29062572527265,8.651723675315665,77.91976176561508,17196.485500569743,494.464596021056,31296688.471193753,27211892.562388092,41553327.685558856,462351162.0,339913038.1219221,True,,RCY-1:Converged(63/300),,methanol_instance2.hsc,1,5.229340999998385,5.492392700019991,2026-07-31 17:38:38
210,6500,3.0,65,,210.0,210.0,6500.0,3.0,65.0,0.99,82.07045662638038,82.90791026542507,8.55519644641268,77.6453483651991,17117.434557806988,505.02786893111085,31237666.884877488,28092193.50603704,42453658.01496634,462351162.0,338352793.901668,True,,RCY-1:Converged(64/300),,methanol_instance3.hsc,1,5.303428399987752,5.532415200024843,2026-07-31 17:38:38
210,7000,3.0,65,,210.0,210.0,7000.0,3.0,65.0,0.99,81.70625058085086,82.53998783167586,8.462213809238573,77.37971362776808,17041.46672973538,515.1744946164272,31182204.80101216,28961656.56840881,43321807.03125986,462351162.0,336854644.9934907,True,,RCY-1:Converged(65/300),,methanol_instance0.hsc,2,4.443925700034015,4.6593555999861564,2026-07-31 17:38:42
210,7500,3.0,65,,210.0,210.0,7500.0,3.0,65.0,0.99,81.3557884381693,82.18594954468121,8.377002192571,77.125143583015,16968.329480182943,525.1310462242337,31130161.96911461,29818446.00467979,44174444.562994435,462351162.0,335412072.282577,True,,RCY-1:Converged(66/300),,methanol_instance1.hsc,2,4.4477238999679685,4.715083199989749,2026-07-31 17:38:42
210,8000,3.0,65,,210.0,210.0,8000.0,3.0,65.0,0.99,81.01907924852638,81.84580454698072,8.296430421365011,76.88034560153807,16898.015573542234,534.7784623669345,31081722.789202213,30657567.391020562,45002324.57121876,462351162.0,334024490.4303494,True,,RCY-1:Converged(67/300),,methanol_instance2.hsc,2,4.7569417000049725,4.9552740000071935,2026-07-31 17:38:43
210,8500,3.0,65,,210.0,210.0,8500.0,3.0,65.0,0.99,80.69498885852013,81.5184071121785,8.220695360188808,76.64576340175086,16830.37236610614,544.1549453356672,31036592.017547645,31478129.19119117,45808183.78287733,462351162.0,332691046.35206634,True,,RCY-1:Converged(68/300),,methanol_instance3.hsc,2,5.853252299973974,6.048553300002823,2026-07-31 17:38:44
210,9000,3.0,65,,210.0,210.0,9000.0,3.0,65.0,0.99,80.38248643688203,81.20271589031958,8.149120804796677,76.42017915044707,16765.143172022395,553.2613903158009,30994562.622114457,32279367.696027707,46592016.89574214,462351162.0,331405520.0307675,True,,RCY-1:Converged(69/300),,methanol_instance0.hsc,3,5.582573599967873,5.868930399999954,2026-07-31 17:38:48
210,9500,3.0,65,,210.0,210.0,9500.0,3.0,65.0,0.99,80.08130596169623,80.89846214497884,8.081440723397526,76.20352148847742,16702.270713831578,562.1144645148909,30955290.504943393,33061353.635801088,47355040.69141596,462351162.0,330166742.1177183,True,,RCY-1:Converged(70/300),,methanol_instance1.hsc,3,5.590659800014691,5.821988200012129,2026-07-31 17:38:48
