temperature,pressure,P,merit,mode,role
210.631969,9484.277968,0,-11.44757493,-1,dead
210.4836992,9068.563588,0,-11.32281714,-1,dead
211.2621862,9964.595831,0,-11.30617967,-1,dead
211.4883271,10283.88019,0,-11.2967988,-1,dead
211.5102338,10012.42377,0,-11.14829318,-1,dead
210.1936621,8295.851524,0,-11.04672318,-1,dead
210.1346474,7912.137578,0,-10.81303765,-1,dead
212.8917291,9536.408087,0,-9.966609438,-1,dead
211.3370881,7556.57515,0,-9.773962054,-1,dead
213.4288763,9537.627578,0,-9.605449742,-1,dead
213.6850785,9766.052655,0,-9.569753367,-1,dead
213.2300627,9150.545491,0,-9.533778351,-1,dead
212.4396934,8298.917107,0,-9.521914821,-1,dead
214.3459736,10307.87433,0,-9.448227696,-1,dead
213.7491953,9326.924428,0,-9.299498308,-1,dead
211.8310634,7229.12273,0,-9.261662351,-1,dead
214.9615683,10228.62759,0,-9.044813486,-1,dead
215.0835742,10342.00986,0,-9.030046541,-1,dead
214.3341633,9173.003837,0,-8.864207794,-1,dead
215.8031639,10791.68584,0,-8.829533992,-1,dead
212.1012202,6838.402066,0,-8.825017286,-1,dead
215.8175971,10765.44909,0,-8.808356511,-1,dead
212.2116098,6879.671533,0,-8.782666793,-1,dead
212.8654682,7458.985151,0,-8.767500135,-1,dead
214.7624508,9263.989933,0,-8.653372051,-1,dead
214.418649,8662.588092,0,-8.535082018,-1,dead
215.9949792,10228.45068,0,-8.44979365,-1,dead
216.9332647,10936.55083,0,-8.250500301,-1,dead
215.2613995,8877.110678,0,-8.183914802,-1,dead
212.035783,5794.68245,0,-8.135649265,-1,dead
211.5883345,5381.631406,0,-8.089317324,-1,dead
211.8194704,5554.045759,0,-8.08125913,-1,dead
213.6994752,7084.552445,0,-8.04154511,-1,dead
213.7545635,7097.65464,0,-7.989244834,-1,dead
214.4187566,7571.84003,0,-7.902995404,-1,dead
213.4127593,6616.763459,0,-7.89149759,-1,dead
213.1680251,6300.482267,0,-7.841705746,-1,dead
212.3232187,5449.435811,0,-7.713425297,-1,dead
217.8669332,10740.19205,0,-7.669072373,-1,dead
214.978654,7629.082951,0,-7.644370829,-1,dead
213.1983324,5728.662619,0,-7.431533568,-1,dead
212.5409174,5186.36957,0,-7.404649422,-1,dead
215.5525642,7680.190123,0,-7.350067276,-1,dead
213.3155125,5655.920525,0,-7.306343525,-1,dead
215.9231431,7721.986292,0,-7.198015661,-1,dead
217.6174474,9387.012654,0,-7.16445294,-1,dead
218.928,10790.24475,0,-7.148664968,-1,dead
214.6331211,6110.446513,0,-6.908904461,-1,dead
214.946682,6269.119001,0,-6.848648839,-1,dead
216.1716812,7027.525838,0,-6.659877144,-1,dead
213.8959243,5029.215834,0,-6.599695427,-1,dead
217.2304578,7613.813798,0,-6.470835256,-1,dead
216.700916,7068.197259,0,-6.436172875,-1,dead
219.4952025,9457.611617,0,-6.298973958,-1,dead
218.6404122,8553.914856,0,-6.260586269,-1,dead
215.5835968,5741.57426,0,-6.203949509,-1,dead
221.1153305,10884.70818,0,-6.154388681,-1,dead
220.5276097,9985.311215,0,-6.046615385,-1,dead
220.4505241,9899.797603,0,-6.041209623,-1,dead
220.5024362,9507.684197,0,-5.853788131,-1,dead
220.7072716,9639.134151,0,-5.825113945,-1,dead
221.3221112,10249.30009,0,-5.80431493,-1,dead
219.4075802,8299.501276,0,-5.792373777,-1,dead
217.5543326,6600.261939,0,-5.778490938,-1,dead
218.9493716,7828.208569,0,-5.768675392,-1,dead
222.4551111,10895.89735,0,-5.578728796,-1,dead
220.0720232,8240.679834,0,-5.471254393,-1,dead
217.580001,6058.086139,0,-5.453936873,-1,dead
218.8926495,7127.187663,0,-5.446675709,-1,dead
222.5788974,10431.2002,0,-5.350387381,-1,dead
221.3640006,9169.17711,0,-5.345656224,-1,dead
299.6940769,5057.556625,0,-5.339000683,-1,dead
222.1654801,9628.959535,0,-5.200693096,-1,dead
221.8438836,8863.833608,0,-5.010964125,-1,dead
218.4198473,5902.405292,0,-5.008364693,-1,dead
220.1651228,7319.021063,0,-5.003634158,-1,dead
219.4211082,6669.769843,0,-5.000276316,-1,dead
221.3419964,8294.12919,0,-4.969889048,-1,dead
297.2765962,5066.396885,0,-4.877579327,-1,dead
222.1258978,8756.320887,0,-4.852485158,-1,dead
222.8302981,9361.30291,0,-4.820721289,-1,dead
221.5562918,8022.985591,0,-4.768606563,-1,dead
219.3527622,6139.180056,0,-4.749597136,-1,dead
224.6506236,10804.18101,0,-4.662161723,-1,dead
221.0730461,7363.203066,0,-4.659313631,-1,dead
295.8034227,5076.586978,0,-4.618572531,-1,dead
218.7159757,5252.675376,0,-4.560289601,-1,dead
